Board  ch  det  crystal  a0     a1     a2
0     0   0     0       0.165632     0.100431  0.0
0     1   1     0    0.0    1.0     0.0
0     2   2     0       0.256227     0.100092     0.0
0     3   3     0    0.0    1.0     0.0
0     4   4     0       0.0555329  0.100116      0.0
0     5   5     0    0.0   1.0       0.0
0     6   6     0       0.29382     0.0998785     0.0
0     7   7     0   0.0  1.0     0.0
0     8   8      0      0.224212     0.0999111    0.0
0     9   9     0   0.0   1.0	0.0
0     10  10    0       0.246829     0.099913     0.0
0     11  11    0   0.0   1.0     0.0
0     12  12     0      0.217716     0.1     0.0
0     13  13     0    0.0  1.0    0.0
0     14  14      0     0.162387     0.0998814   0.0
0     15  15      0    0.0  1.0   0.0
1     0   16     0      0.0468068     0.0997813  0.0
1     1   17     0    0.0    1.0     0.0
1     2   18     0      -0.104915     0.0999983   0.0
1     3   19    0    0.0    1.0     0.0
1     4   20    0       -0.233465     0.0999627    0.0
1     5   21    0    0.0   1.0       0.0
1     6   22    0       -0.101278     0.0999469    0.0
1     7   23    0   0.0  1.0     0.0
1     8   24     0      0.0349409     0.100024    0.0
1     9   25    0   0.0   1.0	0.0
1     10  26    0       0.634119     0.0999735     0.0
1     11  27    0   0.0   1.0     0.0
1     12  28     0      0.0495563     0.104625     0.0
1     13  29     0    0.0  1.0    0.0
1     14  30      0     0.196624     0.0999378   0.0
1     15  31      0    0.0  1.0   0.0
2     0   32      0     0.106382     0.0999364   0.0
2     1   33      0    0.0  1.0   0.0
