sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.112499	0.100415	-3.52939e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.227805	0.10007	2.47087e-10
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.527307	0.100023	-1.81466e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.20095	0.10012	-2.10473e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.0139107	0.100075	-1.35314e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.19998	0.100073	-1.05134e-08
0	13	13	0	0.0	1.0	0.0
0	14	14	0	-0.0294017	0.0998844	-1.49376e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.0126119	0.099397	3.40104e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0702286	0.100138	-1.26408e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.942903	0.0990236	8.2158e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.055527	0.0999636	1.07205e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.782127	0.0995968	3.59403e-08
1	9	25	0	0.0	1.0	0.0
1	10	26	0	1374.84	-0.446328	4.57764e-05
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-4.20943	0.106105	-1.08736e-07
1	13	29	0	0.0	1.0	0.0
1	14	30	0	89.0851	0.491964	2.90167e-05
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.111454	0.100143	-1.86065e-08
2	1	33	0	0.0	1.0	0.0
