sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.327096	0.100248	2.08878e-08
0	1	1	0	0	1	0
0	2	2	0	0.0967468	0.0998356	1.08454e-09
0	3	3	0	0	1	0
0	4	4	0	0	0	0
0	5	5	0	0	1	0
0	6	6	0	-0.181966	0.0999904	-8.00728e-09
0	7	7	0	0	1	0
0	8	8	0	-0.147209	0.100566	-1.59555e-08
0	9	9	0	0	1	0
0	10	10	0	0.0118234	0.100126	-1.16321e-08
0	11	11	0	0	1	0
0	12	12	0	0.540501	0.100125	9.16922e-09
0	13	13	0	0	1	0
0	14	14	0	0.0479074	0.0998416	-1.30996e-08
0	15	15	0	0	1	0
1	0	16	0	-0.219376	0.099992	1.24566e-09
1	1	17	0	0	1	0
1	2	18	0	-0.101227	0.10024	-2.08409e-08
1	3	19	0	0	1	0
1	4	20	0	0.976588	0.0989854	8.2453e-08
1	5	21	0	0	1	0
1	6	22	0	-0.361907	0.0999721	-1.99034e-08
1	7	23	0	0	1	0
1	8	24	0	0.233518	0.100008	5.24625e-09
1	9	25	0	0	1	0
1	10	26	0	1.58121	0.0669478	6.84557e-07
1	11	27	0	0	1	0
1 12 -1.44327 0.105131 -3.19282e-08 0.10629 -1.39453e-07
1	13	29	0	0	1	0
1 14 -0.175259 0.10006 1.97696e-08 0.100601 -1.27239e-08
1	15	31	0	0	1	0
2	0	32	0	0.225991	0.100042	-3.953e-09
2	1	33	0	0	1	0
