Board  ch  det  crystal  a0     a1     a2
0     0   0     0       0.254485	0.100134	1.25378E-08
0     1   1     0    0.0    1.0     0.0
0     2   2     0       0.545477	0.0998533	1.94171E-08
0     3   3     0    0.0    1.0     0.0
0     4   4     0       0.207242	0.10004	-5.07430E-09
0     5   5     0    0.0   1.0       0.0
0     6   6     0       0.0531787	0.0998321	3.08149E-09
0     7   7     0   0.0  1.0     0.0
0     8   8      0      0.203534	0.09998532	2.93427E-09
0     9   9     0   0.0   1.0	0.0
0     10  10    0       0.340309	0.10001	7.63850E-09
0     11  11    0   0.0   1.0     0.0
0     12  12     0      0.589468	0.0997926	1.41579E-08
0     13  13     0    0.0  1.0    0.0
0     14  14      0    0.340519	0.0996302	5.08449E-09
0     15  15      0    0.0  1.0   0.0
1     0   16     0      0.645884	0.0990221	2.20999E-08
1     1   17     0    0.0    1.0     0.0
1     2   18     0      0.0145656	0.100154	-8.31998E-09
1     3   19    0    0.0    1.0     0.0
1     4   20    0       0.761522	0.0991469	7.88780E-08
1     5   21    0    0.0   1.0       0.0
1     6   22    0       -0.425378	0.0998976	-1.17878E-08
1     7   23    0   0.0  1.0     0.0
1     8   24     0      0.295748	0.0999103	1.21632E-08
1     9   25    0   0.0   1.0	0.0
1     10  26    0       0.336208	0.0996984	1.74165E-09
1     11  27    0   0.0   1.0     0.0
1     12  28     0      -0.277922	0.104772	-9.77108E-09
1     13  29     0    0.0  1.0    0.0
1     14  30      0     0.19283	0.100149	-4.10777E-09
1     15  31      0    0.0  1.0   0.0
2     0   32      0     0.135128	0.100027	5.77291E-10
2     1   33      0    0.0  1.0   0.0
