sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0944452	0.100292	1.9544e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.411032	0.0998568	1.44984e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	0.0192408	0.0998731	-5.5414e-09
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.00151902	0.0999633	-1.12955e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.104471	0.100076	-7.48384e-09
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.257883	0.10018	-2.58997e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.167245	0.0996601	-7.42268e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.0269742	0.0993532	6.70293e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0702286	0.100138	-1.26408e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.925442	0.099047	8.07213e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.055527	0.0999636	1.07205e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.259244	0.0999942	2.56595e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-0.622041	0.100451	-3.16374e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-1.44327	0.105131	-3.19282e-08
1	13	29	0	0.0	1.0	0.0
1	14	30	0	0.185723	0.0998196	2.83022e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.105402	0.100039	-3.531e-09
2	1	33	0	0.0	1.0	0.0
